,Date,Exercise,Weights,Sets,Reps,RPE,Mobility,Notes
0,5/3/20,pause comp squat,[315.0],[3],[3],[6.0],dawson warmup,"right on target with rpe, trying to engage upper back and evenly descent as much as possible, pause needs to be longer next week"
1,5/3/20,comp bench,[285.0],[1],[1],[8.0],dawson warmup,"true 8, shoulder irritated from different warmups but will fix in future"
2,5/3/20,close grip bench,[225.0],[3],[6],[6.0],dawson warmup,"great starting point, focus on upper back tightness, right on target rpe"
3,5/4/20,comp squat,"[425.0, 375.0]","[1, 4]","[1, 5]","[6.0, 7.0]","dawson warmup, add goblet squats next time","single was right on target, keep the same back position throughout, more upright position is necessary to stay over midfoot, slight right quad irritation from now doing a type of squat in warmup, last set rpe 7"
4,5/5/20,comp deadlift,"[495.0, 435.0]","[1, 3]","[3, 5]","[7.0, 6.0]",dawson warmup + goblet squats,"top triple was right on rpe,  were fine rpe but form sucked from being rushed, feet were pointed too far forwards, need to open more"
5,5/5/20,comp bench,[240.0],[4],[5],[7.0],dawson warmup + goblet squats,"right on rpe target, fatigue made back position harder to keep but was manageable"
6,5/6/20,high bar,[325.0],[3],[7],[6.0],dawson warmup,"rpe 7/8, video says 6, keep weight same next week"
7,5/7/20,beltless conventional deadlift,"[365.0, 315.0]","[1, 3]","[4, 5]","[7.0, 6.0]",no mobility,"less weight than anticipated, but need to readjust to the movement pattern and can make a bigger jump next week, start with hips more behind bar and vertical shin angle"
8,5/7/20,comp bench,"[315.0, 275.0]","[1, 5]","[1, 2]","[9.0, 8.0]",no mobility,"single was so much smoother than my last 315, 320 was there @10, doubles were right above rpe target @7.5, lost some upper back position on the last set"
9,5/7/20,machine chest flys,[110.0],[4],[12],[None],no mobility,felt great with no shoulder pain
10,5/8/20,comp squat,"[455.0, 415.0]","[1, 4]","[1, 2]","[8.0, 8.0]","foam rolling, mobility, warmup","thought the single on program was @9, whoops!  were decent, just harder because no food and bad sleep"
11,5/8/20,comp bench,[245.0],[3],[3],[6.0],"foam rolling, mobility, warmup","easy money, sore af tho"
12,5/8/20,pull ups,[0.0],[3],[5],[None],"foam rolling, mobility, warmup",focus on adding a rep each week
13,5/11/20,pause comp squat,[315.0],[3],[3],[None],"foam rolling, warmup, mobility","much more solid pauses than week 1, felt great go up 5 next week"
14,5/11/20,comp bench,"[295.0, 320.0]","[1, 1]","[1, 1]","[7.0, 10.0]","foam rolling, warmup, mobility","nice pr and was clean, 295 was @7, strength trending very upward"
15,5/11/20,close grip bench,[235.0],[3],[7],[7.0],"foam rolling, warmup, mobility","great sets, right on target rpe"
16,5/11/20,rear delt flys,[75.0],[4],[12],[None],"foam rolling, warmup, mobility",have palms open and facing each other
17,5/12/20,comp squat,"[435.0, 385.0]","[1, 4]","[1, 4]","[7.0, 7.0]","foam rolling, mobility, warmup","single felt like @8 but video dictates @7, speed on  is great just feels hard, speed dictates rpe 7 on last set of"
18,5/13/20,comp deadlift,"[515.0, 440.0]","[1, 3]","[2, 5]","[7.0, None]","foam rolling, mobility, warmup","didn’t eat before so the single was @8.5, did the lower end of  and don’t know what’s going on with elbow/bicep area, no lower body pain so big improvement from last week"
19,5/13/20,comp bench,[250.0],[4],[4],[7.0],"foam rolling, mobility, warmup",right on target rpe
20,5/13/20,t bar row,[180.0],[3],[10],[None],"foam rolling, mobility, warmup",full protraction
21,5/15/20,comp squat,"[465.0, 425.0]","[1, 4]","[1, 2]","[8.0, 8.0]","foam rolling, mobility, warmup","single was perfect rpe,  we’re perfect rpe, 0 pain at all today, think about tight glutes to engage everything ( don’t fart )"
22,5/15/20,comp bench,"[305.0, 280.0]","[1, 5]","[1, 2]","[8.0, 8.0]","foam rolling, mobility, warmup","single was right on target, no pain on anything, just above average soreness because of day sequences,  were great target for rpe"
23,5/16/20,high bar,[325.0],[4],[6],[6.0],"foam rolling, mobility, warmup","death, but did at the correct rpe"
24,5/16/20,conventional deadlift,"[475.0, 345.0]","[1, 3]","[1, 5]","[9.0, 7.0]","foam rolling, mobility, warmup","did a single instead of 5 because of high bar fatigue and was very smooth,  were @6"
25,5/16/20,comp bench,[245.0],[3],[3],[6.0],"foam rolling, mobility, warmup",right at prescribed rpe
26,5/18/20,comp squat,"[445.0, 395.0]","[1, 4]","[1, 4]","[6.0, None]","foam rolling, mobility, warmup","single was very easy just couldn’t focus because of shitting pants, sets were prescribed rpe 8"
27,5/18/20,comp bench,[295.0],[1],[1],[8.0],"foam rolling, mobility, warmup","pec and shoulder felt terrible, need to rearrange heavy and light single days, was 8.5"
28,5/18/20,close grip bench,[240.0],[3],[8],[None],"foam rolling, mobility, warmup","sets were rpe 8,9,9"
29,5/20/20,comp deadlift,"[515.0, 445.0]","[1, 3]","[3, 5]","[9.0, 8.0]",no mobility,"triple was slightly overshot, very slow but no form breakdown,  were right on rpe, last set was best set"
30,5/21/20,comp bench,"[305.0, 325.0, 290.0, 280.0]","[1, 1, 2, 2]","[1, 1, 2, 2]","[9.0, 10.0, 9.0, 8.0]",warmup,slight overshoot on  but very nice increase
31,5/21/20,high bar,[330.0],[3],[7],[7.0],warmup,hard but okay sets
32,5/23/20,comp squat,"[455.0, 435.0, 405.0]","[1, 3, 1]","[1, 2, 3]","[7.0, 9.0, 6.0]","mobility, warmup","single was way too fast and loose in the hole but moved and felt like a 7, last rep of  was misgrooved but good other than that, fitness set was very easy and technically sound for the most part, cue “just man the weight up” to have a more direct and intentional bar path"
33,5/23/20,beltless conventional deadlift,"[425.0, 365.0]","[1, 3]","[5, 6]","[8.0, 7.0]","mobility, warmup","top set of 5 was right on the money, maybe a 7/7.5 even,  were cake"
34,5/23/20,comp bench,[260.0],[4],[5],[8.0],"mobility, warmup",sets got easier as it went
35,5/25/20,comp squat,"[455.0, 405.0, 365.0]","[1, 3, 1]","[1, 4, 5]","[7.0, 8.0, None]","foam rolling, mobility, warmup","felt great, form finally coming together entirely, drive knees forward on ascent"
36,5/25/20,comp bench,"[305.0, 240.0, 225.0]","[1, 3, 1]","[1, 8, 8]","[9.0, None, 8.0]","foam rolling, mobility, warmup","single was supposed to be @7 but ego played too large of a role, accidentally misloaded second set of  /2.5lb, last set was perfect rpe"
37,5/26/20,pause comp squat,[315.0],[3],[3],[6.0],"mobility, warmup",wider stance feels much better with knee forward cue
38,5/26/20,comp bench,[245.0],[3],[3],[6.0],"mobility, warmup",need to make a variation in future
39,5/27/20,comp deadlift,"[545.0, 585.0]","[1, 1]","[1, 1]","[9.0, 10.0]","mobility, warmup","wanted 6 beans, wasn’t there today, sike."
40,6/1/20,comp squat,"[405.0, 315.0]","[1, 3]","[1, 5]","[6.0, 6.0]",no moblity,all easy and great feeling
41,6/4/20,ssb squat,"[330.0, 240.0]","[1, 3]","[1, 3]","[6.5, None]","foam rolling, mobility, warmup",decided to get some practice before ssb starts next block
42,6/4/20,comp bench,"[285.0, 255.0]","[1, 3]","[1, 2]","[7.5, None]","foam rolling, mobility, warmup",single was slightly higher rpe than anticipated because of 2 second pause and new equipment
43,6/8/20,high bar,"[385.0, 335.0]","[1, 3]","[1, 6]","[6.0, 5.0]","mobility, warmup","6 / adductor hates me, high bar in flats from now on, no adductor pain with flats"
44,6/8/20,comp deadlift,"[385.0, 435.0, 405.0]","[1, 1, 3]","[3, 5, 7]","[5.0, 6.0, None]","mobility, warmup","rushed the last 3 reps of top set from just being uncomfortable, so fucking tired felt like throw up was coming on every set but finished it"
45,6/8/20,dumbbell rdl,[15.0],[4],[12],[None],"mobility, warmup","great stretch, incredibly light weight for proper form"
46,6/8/20,belt squat,[25.0],[3],[12],[None],"mobility, warmup",just fucking kill me
47,6/9/20,comp bench,"[245.0, 260.0, 240.0]","[1, 1, 4]","[3, 5, 5]","[5.0, 10.0, None]","mobility, warmup","need you adjust to new equipment forsure, last set was @9"
48,6/9/20,db flys,[20.0],[3],[12],[None],"mobility, warmup",deep and pause
49,6/10/20,comp squat,"[405.0, 425.0, 365.0]","[1, 1, 4]","[2, 3, 4]","[None, 7.5, None]",no mobility,death.
50,6/11/20,comp bench,"[275.0, 285.0, 295.0, 255.0, 235.0]","[1, 1, 1, 1, 2]","[1, 1, 1, 5, 7]","[None, None, None, None, None]","comp bench - 275,285,295x1, 255x5, 235x2x7 - last set felt the best despite fucking up so much, just need feet towards head another inch and to depress scapula more","last set felt the best despite fucking up so much, just need feet towards head another inch and to depress scapula more"
51,6/13/20,larsen press,"[245.0, 230.0]","[1, 3]","[3, 6]","[6.5, None]","foam rolling, mobility, warmup",i was literally half off of the bench on top set but it was very easy
52,6/13/20,beltless comp deadlift,"[405.0, 425.0, 455.0, 410.0]","[1, 1, 1, 3]","[1, 1, 1, 3]","[None, None, 6.5, None]","foam rolling, mobility, warmup",fucked setup on top set but still moved fine
53,6/15/20,high bar,"[405.0, 355.0]","[1, 3]","[1, 5]","[7.0, None]",no mobility,single was very solid
54,6/15/20,comp deadlift,"[455.0, 425.0]","[1, 3]","[5, 7]","[7.0, None]",no mobility,"10lb pr set of 5, 20lb pr sets of 7, all very sub max since adaptation has occurred since last monday, just think of the sets as three doubles and a single and it’s so much easier"
55,6/15/20,belt squat,[35.0],[3],[12],[None],no mobility,easier than last week forsure
56,6/16/20,comp bench,"[265.0, 245.0]","[1, 4]","[5, 4]","[8.5, None]","mobility, warmup","have to lockout fully, backoff sets rpe 7/8"
57,6/18/20,comp squat,"[405.0, 455.0, 465.0, 420.0]","[1, 1, 1, 4]","[2, 1, 3, 3]","[None, None, 8.0, None]","mobility, warmup","top set was fucking mint,  easy"
58,6/19/20,comp bench,"[295.0, 315.0, 240.0, 245.0]","[1, 1, 1, 2]","[1, 1, 7, 7]","[7.0, 9.0, None, 6.0]","mobility, warmup - use iyt’s to just bounce the weight from lats","8 / last set may have been 8 but lost count, one ring wider feels really good"
59,6/22/20,high bar,"[425.0, 365.0]","[1, 3]","[1, 5]","[8.0, 7.0]","foam rolling, mobility, warmup",7.5 / last set was best set because i found comfort in the hole
60,6/23/20,comp bench,"[245.0, 265.0, 275.0, 255.0]","[1, 1, 1, 4]","[3, 2, 5, 4]","[None, None, 10.0, None]",no mobility,were @7/8
61,6/24/20,comp squat,"[405.0, 415.0, 455.0, 385.0, 365.0]","[1, 1, 1, 3, 1]","[2, 1, 1, 3, 3]","[None, None, None, None, None]","foam rolling, mobility, warmup","going off of 425 for the double, everything feels so slow and off"
62,6/25/20,t bar row,[90.0],[4],[8],[None],"foam rolling, mobility, warmup",did instead of pendlay row and feels really good on shoulder
63,6/27/20,pause comp squat,"[405.0, 365.0]","[1, 2]","[3, 4]","[7.5, 5.5]","mobility, warmup","6.5, 340x1x5 / elbows down gives me the best fucking leverages ever"
64,6/27/20,larsen press,[265.0],[1],[3],[8.0],"mobility, warmup","8.5, 235x3x6@6/8 / fucking money"
65,6/27/20,beltless comp deadlift,"[425.0, 455.0, 475.0]","[1, 1, 3]","[1, 1, 1]","[None, None, 7.0]","mobility, warmup","8, 430x3x3"
66,6/29/20,high bar,"[365.0, 375.0, 375.0, 385.0]","[1, 1, 1, 1]","[1, 1, 1, 4]","[None, None, None, 7.0]","added westside style warmups, mobility",8
67,6/29/20,comp deadlift,"[495.0, 405.0]","[1, 1]","[4, 7]","[9.5, None]","added westside style warmups, mobility",overshot top set and misgrooved last rep
68,6/30/20,comp bench,[280.0],[2],[3],[8.5],"mobility, warmup","9, 265x3x4, 245x5"
69,6/30/20,flat dumbbell bench,[65.0],[3],[10],[None],"mobility, warmup",add into warmup??? helps stabilization quite a bit
70,7/2/20,comp squat,"[495.0, 425.0, 435.0, 435.0]","[1, 1, 1, 1]","[1, 1, 1, 3]","[8.0, None, None, 6.0]","mobility, warmup","8, 385x1x3"
71,7/3/20,comp bench,"[305.0, 255.0]","[1, 3]","[1, 6]","[9.0, 7.5]","mobility, warmup","8 / single felt okay with wider grip, just need to adjust"
72,7/5/20,pause comp squat,"[415.0, 375.0]","[1, 2]","[3, 4]","[6.0, 5.5]","mobility, warmup","6.5, 340x1x5 / top set was amazing except the 3rd rep wasn’t pause and didn’t fully lockout first rep but flew, positioning feels godlike"
73,7/5/20,larsen press,[270.0],[1],[3],[8.0],"mobility, warmup","8.5, 240x3x5@6/8 / soft touch feeling a lot better"
74,7/7/20,high bar,[385.0],[3],[4],[7.0],"mobility, warmup","8, 355x4 / sets feel really good! heels are stronger but just need to make sure the hips approve, belt broke before 3rd working set fuck me"
75,7/7/20,comp deadlift,"[565.0, 515.0, 475.0]","[1, 1, 2]","[1, 2, 2]","[8.5, 8.5, 7.0]","mobility, warmup",7.5 / positioning feels a1 baby
76,7/9/20,comp bench,"[295.0, 315.0, 275.0]","[1, 1, 4]","[1, 1, 3]","[7.0, 10.0, 7.0]",no mobility,8 / positioning and actual lift felt the best it has with this grip
77,7/11/20,comp bench,[245.0],[2],[1],[None],"mobility, warmup","can’t continue, bicep tendonitis is too much"
78,7/13/20,high bar,[365.0],[3],[4],[7.5],"mobility, warmup","8.5, 340x4 / not trying to go insane before 545 squat attempt in 3 days, fitness drops very fast if sessions are missed but still completed the sets in about 30/35min"
79,7/13/20,comp deadlift,"[545.0, 495.0]","[1, 1]","[1, 2]","[7.5, 8.0]","mobility, warmup","8.5, 455x2x2 / money!"
80,7/14/20,comp bench,"[295.0, 245.0]","[1, 3]","[1, 3]","[None, 6.0]","mobility, warmup","8, 230x3 / hurts like a bitch"
81,7/15/20,comp squat,"[495.0, 475.0]","[1, 1]","[1, 1]","[9.0, 10.0]","mobility, warmup","missed saturday technique session and just feels fucking terrible today, no  because of tendonitis"
82,7/18/20,comp bench,[275.0],[1],[1],[6.0],"mobility, warmup","7, 255x4x5@6/9 / tendonitis was tolerable today"
83,7/19/20,pause comp deadlift,"[545.0, 455.0, 405.0]","[1, 1, 2]","[1, 3, 3]","[10.0, None, None]","mobility, warmup",money money
84,7/19/20,larsen press,"[275.0, 245.0]","[1, 4]","[2, 4]","[9.0, None]","mobility, warmup",double was very well executed and  feel solid
85,7/19/20,comp squat,"[405.0, 365.0, 320.0]","[1, 1, 2]","[1, 7, 6]","[5.0, 6.0, None]","mobility, warmup",top set of 7 is going to take some adjusting....
86,7/19/20,3:1:0 tempo comp bench,"[275.0, 245.0]","[1, 3]","[1, 3]","[7.0, 6.0]","mobility, warmup","using belt to try and increase tightness, nope didn’t do that past 185, can use same rep weight for next week and be fine"
87,7/19/20,single arm t bar row,[70.0],[3],[12],[None],"mobility, warmup","can add dramatically next week, pack lat and squeeze"
88,7/28/20,comp bench,[285.0],[1],[1],[6.0],"mobility, warmup - added shoulder t nation movement and unilateral kneeling kb press","6.5, 245x3x5@6 / foot position needs to be straight forward and wide relative to previous positions, position>speed"
89,7/28/20,flat dumbbell feet up bench,[50.0],[3],[12],[None],"mobility, warmup - added shoulder t nation movement and unilateral kneeling kb press",very easy actually
90,7/30/20,comp deadlift,[405.0],[1],[6],[5.0],"10 min bike warmup, mobility, warmup",technically felt perfect and great starting point
91,7/30/20,candito deadlift,[315.0],[3],[5],[None],"10 min bike warmup, mobility, warmup",need to do beltless but feels amazing on quads
92,7/30/20,spoto press,"[245.0, 255.0, 265.0]","[1, 1, 1]","[2, 2, 2]","[None, None, None]","10 min bike warmup, mobility, warmup","foot position feels great, stick to wider foot position for stability and spoto will take time to get used to ( trying to bring it to chest every rep and looks unnatural )"
93,7/30/20,goblet split squats,[25.0],[3],[10],[None],"10 min bike warmup, mobility, warmup",feels so much more stable in a front goblet position
94,7/31/20,pause comp squat,"[405.0, 365.0]","[1, 2]","[1, 4]","[6.0, None]",10min bike warmup,"very technically sound,  the bar kept sliding down back even with a7 shirt and very annoying"
95,7/31/20,comp bench,"[280.0, 265.0, 250.0, 240.0]","[1, 1, 2, 2]","[1, 3, 2, 3]","[6.0, 6.0, None, None]",10min bike warmup,every set felt very technically solid
96,8/1/20,high bar,"[385.0, 335.0]","[1, 3]","[1, 4]","[6.0, 6.0]","10min bike ride 64cal, mobility, warmup",easy just hurts as a third day
97,8/1/20,comp deadlift,"[445.0, 455.0, 455.0, 460.0, 460.0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[None, None, None, None, None]","10min bike ride 64cal, mobility, warmup","all fucking easy, wedging is best it’s ever been by using the hips cue pre/knee"
98,8/1/20,close grip bench,[235.0],[1],[7],[5.0],"10min bike ride 64cal, mobility, warmup","6, 215x2x6 / extremely smooth and easy"
99,8/3/20,comp squat,"[455.0, 385.0]","[1, 1]","[1, 7]","[7.0, 6.0]","mobility, warmup","7, 365x2x7 / hip flaring on top set of 7 but moved great"
100,8/3/20,3:1:0 tempo bench,[305.0],[1],[1],[8.5],"mobility, warmup","9, 245x3x3@5/6 / think about reaching chest the entire movement, reach reach reach"
101,8/3/20,comp bench,"[295.0, 255.0]","[1, 4]","[1, 5]","[7.0, 7.0]","mobility, warmup",either only have primer singles the day before or no single at all
102,8/5/20,comp deadlift,[425.0],[3],[7],[None],"56cal 10min bike ride warmup, mobility, warmup",fucking tiring
103,8/5/20,spoto press,[245.0],[4],[3],[None],"56cal 10min bike ride warmup, mobility, warmup",money and no tendonitis
104,8/7/20,pause comp squat,[425.0],[1],[1],[7.5],"58cal 10min bike ride warmup, mobility, warmup","8, 365x3x3 / flats for first time and feel great"
105,8/7/20,comp deadlift,"[475.0, 485.0, 495.0]","[2, 2, 1]","[1, 1, 1]","[None, None, None]","58cal 10min bike ride warmup, mobility, warmup",tired af going into it but easy
